GORDON,PERSON,18790222-232-232166863.txt
Thomson,PERSON,18790222-232-232166863.txt
Thomas,PERSON,18790222-232-232166863.txt
Gallagher,PERSON,18790222-232-232166863.txt
Charles,PERSON,18790222-232-232166863.txt
Gallagher,PERSON,18790222-232-232166863.txt
Ilr,PERSON,18790222-232-232166863.txt
Wynne,PERSON,18790222-232-232166863.txt
Ferguson,ORGANIZATION,18790222-232-232166863.txt
Frank,ORGANIZATION,18790222-232-232166863.txt
Hoare,ORGANIZATION,18790222-232-232166863.txt
Joseph,PERSON,18790222-232-232166863.txt
Bisgrove,PERSON,18790222-232-232166863.txt
Gibson,ORGANIZATION,18790222-232-232166863.txt
John,PERSON,18790222-232-232166863.txt
Brown,PERSON,18790222-232-232166863.txt
Egerton,LOCATION,18790222-232-232166863.txt
Ballarat,LOCATION,18790222-232-232166863.txt
W.,PERSON,18790222-232-232166863.txt
Tanner,PERSON,18790222-232-232166863.txt
V,PERSON,18790222-232-232166863.txt
Fred,PERSON,18790222-232-232166863.txt
Simpson,PERSON,18790222-232-232166863.txt
