Approved Name,State,lat,long
Mayfield 2787,NSW,-33.667,149.775
Merrijig 3723,Vic,-37.078,146.313
Merrijig 3875,Vic,-37.656,147.442
Milroy 2380,NSW,-31.142,150.048
Milroy 2850,NSW,-32.593,149.621
Mogo 2536,NSW,-35.794,150.102
Mogo 2850,NSW,-32.259,150.022
Montrose 4370,Qld,-28.156,151.779
Montrose 4413,Qld,-27.013,150.615
Moonlight Flat 3450,Vic,-37.062,144.246
Moonlight Flat 3465,Vic,-37.048,143.65
Morven 2370,NSW,-29.41,152.164
Morven 2660,NSW,-35.652,147.155
Mount Archer 4514,Qld,-27.001,152.663
Mount Archer 4701,Qld,-23.326,150.582
Mount Olive 2330,NSW,-32.407,151.225
Mount Olive 2787,NSW,-33.605,149.934
Mount Pleasant 4521,Qld,-27.149,152.764
Mount Pleasant 4740,Qld,-21.118,149.16
Myall 3533,Vic,-35.537,142.756
Myall 3579,Vic,-35.601,144.02
Nelson 2550,NSW,-36.668,149.958
Nelson 2765,NSW,-33.646,150.921
Newtown 4305,Qld,-27.616,152.777
Newtown 4350,Qld,-27.556,151.933
Newtown 3220,Vic,-38.154,144.335
Newtown 3351,Vic,-37.703,143.659
North Branch 4356,Qld,-27.846,151.627
North Branch 4370,Qld,-28.021,152.318
Oxley 2711,NSW,-34.03,144.06
Oxley 2824,NSW,-30.982,147.621
Paddys Flat 2469,NSW,-28.695,152.429
Paddys Flat 2632,NSW,-37.037,149.336
Paddys River 2577,NSW,-34.628,150.127
Paddys River 2653,NSW,-35.76,148.172
Paling Yards 2580,NSW,-34.115,149.732
Paling Yards 2795,NSW,-33.183,149.744
Preston 4352,Qld,-27.654,151.971
Preston 4800,Qld,-20.394,148.658
Pretty Beach 2257,NSW,-33.526,151.348
Pretty Beach 2539,NSW,-35.578,150.352
Punchbowl 2196,NSW,-33.929,151.052
Punchbowl 2460,NSW,-29.463,152.772
Rangemore 4352,Qld,-26.998,151.67
Rangemore 4806,Qld,-19.99,147.404
Red Hill 2347,NSW,-30.494,150.634
Red Hill 2720,NSW,-35.158,148.372
Red Hill 2824,NSW,-31.735,147.794
Red Hill 4059,Qld,-27.452,153.002
Red Hill 4877,Qld,-26.644,150.645
Richmond 4740,Qld,-21.088,149.141
Richmond 4822,Qld,-20.762,143.237
Rocky Creek 2371,NSW,-29.269,151.352
Rocky Creek 2390,NSW,-30.051,150.2
Rocky Point 4873,Qld,-16.388,145.419
Rocky Point 4874,Qld,-12.622,141.885
Rocky River 2358,NSW,-30.597,151.459
Rocky River 2372,NSW,-29.185,152.307
Rose Valley 2534,NSW,-34.718,150.809
Rose Valley 2630,NSW,-36.124,149.258
Rosewood 2446,NSW,-31.458,152.686
Rosewood 2652,NSW,-35.653,147.852
Sandy Creek 2338,NSW,-31.831,150.985
Sandy Creek 2835,NSW,-31.92,145.436
Scrubby Creek 4570,Qld,-26.222,152.573
Scrubby Creek 4878,Qld,-25.548,145.72
Shelly Beach 4551,Qld,-26.796,153.146
Shelly Beach 4810,Qld,-19.185,146.753
Sherwood 2440,NSW,-31.064,152.714
Sherwood 2450,NSW,-30.031,153.045
Sherwood 2474,NSW,-28.427,152.782
Silverwater 2128,NSW,-33.834,151.046
Silverwater 2264,NSW,-33.103,151.558
Smiths Creek 2460,NSW,-29.505,152.729
Smiths Creek 2474,NSW,-28.564,152.854
Smiths Creek 2484,NSW,-28.428,153.378
South Arm 2449,NSW,-30.689,152.74
South Arm 2460,NSW,-29.521,153.171
Spring Creek 4343,Qld,-27.452,152.331
Spring Creek 4361,Qld,-27.957,152.023
Spring Creek 4420,Qld,-25.402,150.031
Spring Hill 2500,NSW,-34.453,150.87
Spring Hill 2800,NSW,-33.403,149.15
Springfield 2250,NSW,-33.428,151.373
Springfield 2630,NSW,-36.532,149.124
Springfield 4300,Qld,-27.653,152.91
Springfield 4871,Qld,-17.932,144.516
Springfield 3434,Vic,-37.331,144.82
Springfield 3544,Vic,-35.575,143.114
St. Clair 2330,NSW,-32.362,151.271
St. Clair 2759,NSW,-33.797,150.785
St. Helens 4356,Qld,-27.674,151.479
St. Helens 4650,Qld,-25.486,152.705
Stockyard 4344,Qld,-27.659,152.063
Stockyard 4703,Qld,-22.85,150.789
Stonehenge 4357,Qld,-28.103,151.386
Stonehenge 4730,Qld,-24.25,142.703
Stony Creek 2550,NSW,-36.618,149.801
Stony Creek 2850,NSW,-32.475,149.73
Stony Creek 3371,Vic,-37.227,143.687
Stony Creek 3957,Vic,-38.593,146.091
Sugarloaf 4380,Qld,-28.71,152.031
Sugarloaf 4800,Qld,-20.311,148.631
Summer Hill 2130,NSW,-33.893,151.137
Summer Hill 2421,NSW,-32.479,151.501
Sundown 4860,Qld,-17.498,146.024
Sundown 4879,Qld,-28.857,151.661
Swan Bay 2324,NSW,-32.693,151.935
Swan Bay 2471,NSW,-29.078,153.293
Tablelands 4605,Qld,-26.162,151.94
Tablelands 4680,Qld,-24.334,150.898
The Bluff 4340,Qld,-27.614,152.533
The Bluff 4355,Qld,-27.197,152.14
The Gap 2472,NSW,-29.17,153.382
The Gap 2650,NSW,-34.954,147.213
The Gap 4061,Qld,-27.446,152.941
The Gap 4825,Qld,-20.726,139.499
The Rocks 2000,NSW,-33.859,151.208
The Rocks 2795,NSW,-33.43,149.425
Thomson 3219,Vic,-38.17,144.379
Thomson 3825,Vic,-37.756,146.345
Torryburn 2358,NSW,-30.446,151.204
Torryburn 2421,NSW,-32.473,151.581
Washpool 2425,NSW,-32.369,151.921
Washpool 2460,NSW,-29.296,152.381
West End 4101,Qld,-27.484,153.005
West End 4810,Qld,-19.265,146.794
Westdale 2340,NSW,-31.091,150.853
Westdale 2653,NSW,-35.57,147.884
White Rock 4306,Qld,-27.694,152.849
White Rock 4868,Qld,-16.979,145.758
Willow Vale 2534,NSW,-34.74,150.792
Willow Vale 2575,NSW,-34.432,150.471
Wog Wog 2550,NSW,-37.076,149.441
Wog Wog 2622,NSW,-35.264,150.054
Woodburn 2472,NSW,-29.097,153.355
Woodburn 2538,NSW,-35.39,150.395
Woodlands 2536,NSW,-35.8,150.184
Woodlands 2575,NSW,-34.408,150.394
Woodstock 2360,NSW,-29.736,151.35
Woodstock 2538,NSW,-35.354,150.408
Woodstock 2793,NSW,-33.769,148.878
Wooroonooran 4860,Qld,-17.344,145.806
Wooroonooran 9999,Qld,-17.55,145.779
Yarras 2446,NSW,-31.43,152.355
Yarras 2795,NSW,-33.365,149.673
Yellow Rock 2527,NSW,-34.602,150.738
Yellow Rock 2777,NSW,-33.696,150.634
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
