0,1,2
Peninsula,LOCATION,18691231-966-197653325 (3 of 5).txt
Bush,PERSON,18691231-966-197653325 (3 of 5).txt
Ander,PERSON,18650615-582-207003170 (1 of 2).txt
Powlett,PERSON,18650615-582-207003170 (1 of 2).txt
Chewton Bush-fire Relief Committee,ORGANIZATION,18650615-582-207003170 (1 of 2).txt
Town Hall,LOCATION,18650615-582-207003170 (1 of 2).txt
Chewton,LOCATION,18650615-582-207003170 (1 of 2).txt
Fletcher,PERSON,18650615-582-207003170 (1 of 2).txt
Fletcher,PERSON,18650615-582-207003170 (1 of 2).txt
Aesterduy,PERSON,18841210-13-6062882 (1 of 2).txt
Melbourne,LOCATION,18841210-13-6062882 (1 of 2).txt
Donald Korongvule,PERSON,18841210-13-6062882 (1 of 2).txt
Ballarat,LOCATION,18841210-13-6062882 (1 of 2).txt
LA,LOCATION,18841210-13-6062882 (1 of 2).txt
Woodside,ORGANIZATION,18870115-289-93966316 (1 of 1).txt
Mount Charles,LOCATION,18870115-289-93966316 (1 of 1).txt
Newman,PERSON,18870115-289-93966316 (1 of 1).txt
Upper Murray,LOCATION,18981217-52-71321501 (2 of 6).txt
Lamed Couch,PERSON,18981217-52-71321501 (2 of 6).txt
Sandy Creek Best Brothers,ORGANIZATION,18981217-52-71321501 (2 of 6).txt
BARBER,PERSON,18981217-52-71321501 (2 of 6).txt
Bush,PERSON,18981217-52-71321501 (2 of 6).txt
COROWA,LOCATION,18981217-52-71321501 (2 of 6).txt
Carnsdale,ORGANIZATION,18981217-52-71321501 (2 of 6).txt
Al,PERSON,18981217-52-71321501 (2 of 6).txt
Office,ORGANIZATION,18771213-41-40473018 (1 of 1).txt
Gazette,ORGANIZATION,18771213-41-40473018 (1 of 1).txt
Adelaide,LOCATION,18771213-41-40473018 (1 of 1).txt
District Rangers,ORGANIZATION,18771213-41-40473018 (1 of 1).txt
Tasmania,LOCATION,18950906-367-101102490 (1 of 2).txt
Mteilnol Davitt,PERSON,18950906-367-101102490 (1 of 2).txt
Oootamundra,PERSON,18950906-367-101102490 (1 of 2).txt
Wol,LOCATION,18950906-367-101102490 (1 of 2).txt
Anuastrlian Mutual Firo Omooffice,ORGANIZATION,18950906-367-101102490 (1 of 2).txt
Boerry,LOCATION,18950906-367-101102490 (1 of 2).txt
Broughton,LOCATION,18950906-367-101102490 (1 of 2).txt
Jasper,PERSON,18950906-367-101102490 (1 of 2).txt
Berry,PERSON,18950906-367-101102490 (1 of 2).txt
Sydney Chamber of Commerce,ORGANIZATION,18950906-367-101102490 (1 of 2).txt
Chambers of Commerce,ORGANIZATION,18950906-367-101102490 (1 of 2).txt
London,LOCATION,18950906-367-101102490 (1 of 2).txt
Victoria,LOCATION,18950828-1220-233887091 (1 of 3).txt
Clancy,PERSON,18720917-65-61879754 (4 of 5).txt
Robert Partridge,PERSON,18720917-65-61879754 (4 of 5).txt
Michael Keenan,PERSON,18720917-65-61879754 (4 of 5).txt
Summer Island,LOCATION,18720917-65-61879754 (4 of 5).txt
W. A. Taylor,PERSON,18720917-65-61879754 (4 of 5).txt
Summer Island,LOCATION,18720917-65-61879754 (4 of 5).txt
Gilden,PERSON,18720917-65-61879754 (4 of 5).txt
Kempsey,LOCATION,18720917-65-61879754 (4 of 5).txt
Gladstone,PERSON,18720917-65-61879754 (4 of 5).txt
N.E.,LOCATION,18720917-65-61879754 (4 of 5).txt
PORT ELLIOT,PERSON,18550131-41-49303400 (1 of 3).txt
Port Elliot,PERSON,18550131-41-49303400 (1 of 3).txt
Council of Defence,ORGANIZATION,18831231-232-262612061 (2 of 2).txt
Newcastle,ORGANIZATION,18831231-232-262612061 (2 of 2).txt
Langdon,PERSON,18831231-232-262612061 (2 of 2).txt
Mnsgrove,PERSON,18831231-232-262612061 (2 of 2).txt
Sydney,LOCATION,18950126-493-126613511 (1 of 1).txt
Mudgee,LOCATION,18950126-493-126613511 (1 of 1).txt
Munmurra River,LOCATION,18950126-493-126613511 (1 of 1).txt
Denman,PERSON,18950126-493-126613511 (1 of 1).txt
Dubbo,LOCATION,18950126-493-126613511 (1 of 1).txt
W. Gardiner,PERSON,18950126-493-126613511 (1 of 1).txt
Ellengerah,PERSON,18950126-493-126613511 (1 of 1).txt
Dubbo Refrigerating Works,ORGANIZATION,18950126-493-126613511 (1 of 1).txt
Bogan,PERSON,18950126-493-126613511 (1 of 1).txt
Legul,PERSON,18981223-714-148073290 (1 of 1).txt
Warland,PERSON,18981223-714-148073290 (1 of 1).txt
McDougall,PERSON,18981223-714-148073290 (1 of 1).txt
S. Conte,PERSON,18981223-714-148073290 (1 of 1).txt
W. Davis,PERSON,18981223-714-148073290 (1 of 1).txt
Mount Macedon,LOCATION,18850220-436-254552772 (1 of 1).txt
Lady Loch,PERSON,18850220-436-254552772 (1 of 1).txt
Lilydale,LOCATION,18850220-436-254552772 (1 of 1).txt
VICTORIA,PERSON,18930218-621-221779587 (3 of 5).txt
West Gippsland,LOCATION,18930218-621-221779587 (3 of 5).txt
Diamond Creek,LOCATION,18930218-621-221779587 (3 of 5).txt
Port Albert,PERSON,18930218-621-221779587 (3 of 5).txt
Great Southern,LOCATION,18930218-621-221779587 (3 of 5).txt
Ellery,PERSON,18930218-621-221779587 (3 of 5).txt
Melbourne,LOCATION,18930218-621-221779587 (3 of 5).txt
Cano,PERSON,18910110-698-163657874 (8 of 12).txt
P. H. Osborne,PERSON,18910110-698-163657874 (8 of 12).txt
Albury,LOCATION,18910110-698-163657874 (8 of 12).txt
Coonamble,LOCATION,18910110-698-163657874 (8 of 12).txt
Ditchfield Bros,PERSON,18910110-698-163657874 (8 of 12).txt
