0,1,2,__mappify_error
Ballarat,,18870204-558-150395118 (1 of 1).txt,
Geelong,,18870204-558-150395118 (1 of 1).txt,
Melbourne,,18870204-558-150395118 (1 of 1).txt,
Ballarai,,18870204-558-150395118 (1 of 1).txt,
Geelong,,18870204-558-150395118 (1 of 1).txt,
Melbourne,,18870204-558-150395118 (1 of 1).txt,
Ballarat,,18870204-558-150395118 (1 of 1).txt,
J.P.,,18650325-13-5742893 (1 of 2).txt,
Ballarat,,18650325-13-5742893 (1 of 2).txt,
Chewton,,18650325-13-5742893 (1 of 2).txt,
Beechworth,,18650325-13-5742893 (1 of 2).txt,
SOUTH WALES,,18840126-232-262613695 (2 of 3).txt,
Cbarleitown,,18840126-232-262613695 (2 of 3).txt,
Adamstown,,18840126-232-262613695 (2 of 3).txt,
New England,,18741218-35-13336814 (1 of 1).txt,
England,,18741218-35-13336814 (1 of 1).txt,
New England,,18741218-35-13336814 (1 of 1).txt,
Australia,,18980204-241-87647802 (1 of 2).txt,
New Zealand,,18980204-241-87647802 (1 of 2).txt,
Beech Forest,,18980204-241-87647802 (1 of 2).txt,
Ballarat Hospi,,18591209-189-72463698 (1 of 1).txt,
Orient,,18800114-180-65960545 (1 of 1).txt,
Adelaide,,18800114-180-65960545 (1 of 1).txt,
Adelaide,,18800114-180-65960545 (1 of 1).txt,
Melbourne,,18800114-180-65960545 (1 of 1).txt,
Queensland,,18800114-180-65960545 (1 of 1).txt,
Adelaide,,18800114-180-65960545 (1 of 1).txt,
Melbourne,,18800114-180-65960545 (1 of 1).txt,
Sydney,,18800114-180-65960545 (1 of 1).txt,
America,,18870122-792-170598464 (1 of 2).txt,
Locksley,,18870122-792-170598464 (1 of 2).txt,
Geelong,,18870122-792-170598464 (1 of 2).txt,
Cape Otway,,18870122-792-170598464 (1 of 2).txt,
Maryborough,,18870122-792-170598464 (1 of 2).txt,
Nagambie,,18870122-792-170598464 (1 of 2).txt,
Avenel,,18870122-792-170598464 (1 of 2).txt,
Maryborough,,18870122-792-170598464 (1 of 2).txt,
Rochester,,18750612-319-197934039 (1 of 2).txt,
Rochford,,18800113-1324-240933957 (1 of 1).txt,
Monument Creek,,18800113-1324-240933957 (1 of 1).txt,
Cal,,18771110-288-90943697 (1 of 1).txt,
Goulburn,,18600702-35-13042578 (1 of 1).txt,
Enibley,,18961221-346-88994627 (1 of 1).txt,
KLMOKE,,18961221-346-88994627 (1 of 1).txt,
MOORA,,18961221-346-88994627 (1 of 1).txt,
Cartridge,,18961221-346-88994627 (1 of 1).txt,
Moora,,18961221-346-88994627 (1 of 1).txt,
Hamilton,,18790109-567-226064615 (2 of 3).txt,
Bsanxholhe,,18790109-567-226064615 (2 of 3).txt,
Isle,,18510331-13-4777002 (2 of 4).txt,
moon,,18510331-13-4777002 (2 of 4).txt,
Egremont,,18510331-13-4777002 (2 of 4).txt,
Dubbo,,18950122-492-121316350 (1 of 1).txt,
Dubbo,,18950122-492-121316350 (1 of 1).txt,
Windsor,,18961017-192-72550000 (1 of 1).txt,
Windsor,,18961017-192-72550000 (1 of 1).txt,
St. Matthew 's Church of England,,18961017-192-72550000 (1 of 1).txt,
SOUTH WALES,,18910107-30-3139737 (2 of 2).txt,
Temora,,18910107-30-3139737 (2 of 2).txt,
Sydney,,18910107-30-3139737 (2 of 2).txt,
Newcastle,,18910107-30-3139737 (2 of 2).txt,
ALBANY,,18910107-30-3139737 (2 of 2).txt,
Sydney,,18910107-30-3139737 (2 of 2).txt,
Seymour,,18840307-436-254369580 (1 of 1).txt,
Gundagai,,18840307-436-254369580 (1 of 1).txt,
South Gundagai,,18840307-436-254369580 (1 of 1).txt,
Snowball Creek,,18840307-436-254369580 (1 of 1).txt,
Albion,,18960107-185-203768628 (2 of 4).txt,
Australia,,18570117-13-7143278 (2 of 6).txt,
Oaks,,18881013-289-94767470 (3 of 4).txt,
Picton,,18881013-289-94767470 (3 of 4).txt,
Werombl,,18881013-289-94767470 (3 of 4).txt,
Camden,,18881013-289-94767470 (3 of 4).txt,
Austra,,18800731-288-94753301 (1 of 1).txt,
Sandhurst,,18820124-13-11530073 (1 of 1).txt,
Melbourne,,18600103-189-72464103 (1 of 1).txt,
Geelong,,18600103-189-72464103 (1 of 1).txt,
Melbourne,,18600103-189-72464103 (1 of 1).txt,
Springs,,18600103-189-72464103 (1 of 1).txt,
Brighton,,18600103-189-72464103 (1 of 1).txt,
Sunbury,,18600103-189-72464103 (1 of 1).txt,
Bay,,18600103-189-72464103 (1 of 1).txt,
BATHURST,,18881106-35-13702594 (1 of 4).txt,
Bathurst,,18881106-35-13702594 (1 of 4).txt,
CAMDEN,,18881106-35-13702594 (1 of 4).txt,
Camden,,18881106-35-13702594 (1 of 4).txt,
COONABARABRAN,,18881106-35-13702594 (1 of 4).txt,
CJz'jj Creek,,18590305-821-158126305 (3 of 6).txt,
Vasse,,18750216-29-2973699 (1 of 1).txt,
Bay,,18750216-29-2973699 (1 of 1).txt,
Franklin Harbor,,18800922-1093-207661195 (1 of 2).txt,
Mc,,18871008-460-142445444 (1 of 1).txt,
Victoria,,18871008-460-142445444 (1 of 1).txt,
Great Britain,,18871008-460-142445444 (1 of 1).txt,
Mount Alexander,,18650301-13-5739044 (3 of 12).txt,
Junction,,18650301-13-5739044 (3 of 12).txt,
Mount,,18650301-13-5739044 (3 of 12).txt,
Hobart Town,,18750206-232-191558563 (4 of 4).txt,
Penola,,18750206-232-191558563 (4 of 4).txt,
PORCUPINE RIDGE,,18990211-621-221142853 (1 of 2).txt,
Porcupine Ridge,,18990211-621-221142853 (1 of 2).txt,
Near Glenlyon,,18990211-621-221142853 (1 of 2).txt,
Narandera Hosipital,,18980121-436-99971758 (1 of 1).txt,
Arizona,,18980121-436-99971758 (1 of 1).txt,
