INDEX,FILE,QUOTE_TRANSCRIPTION,LAT,LNG,VERIFICATION_STATUS,COMMENT,SECOND_QUOTE_TRANSCRIPTION,Column
52,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Wales,53.34061,-1.28162,UNVERIFIED,,Wales,
53,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Lewis Ponds Creek,-33.231114,149.267066,verified,,Lewis Ponds Creek,
54,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Summerhill Creek,-33.20352,149.152332,NOT_IDENTIFIABLE,,Summerhill Creek,
55,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,New South Wales,-32.1690028,147.0117543,VERIFIED,,New South Wales,
56,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,California,37.24235922,-119.6060445,VERIFIED,,California,
57,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Port Phillip,-37.814,144.96332,VERIFIED,,Port Phillip,
58,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Victoria,-36.85717399,144.3100467,VERIFIED,,Victoria,
59,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Toulouse,43.5356661,1.438700824,VERIFIED,,Toulouse,
60,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Melbourne,-37.814,144.96332,UNVERIFIED,,Melbourne,
61,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Melbourne,-37.814,144.96332,UNVERIFIED,,Melbourne,
62,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Australia,-25.73650334,134.48623,VERIFIED,,Australia,
63,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,New South Wales,-32.1690028,147.0117543,VERIFIED,,New South Wales,
64,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Victoria,-36.85717399,144.3100467,VERIFIED,,Victoria,
65,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Lewis Ponds Creek,-33.231114,149.267066,verified,,Lewis Ponds Creek,
