article_id,Placename,Filename,latitude,longitude,State,mean_median_dist,median_median_dist,n_results,winnerPct,searchType,Trove_id
10395013,Australia,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,8651
10395013,New South,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,,,None,,,0,,None,8651
10395013,Wales,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,,,None,,,0,,None,8651
10395013,Lewis Ponds Creek,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,149.2511111,-33.39833333,NSW,0,0,1,100,exact,8651
10395013,Summerhill Creek,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,151.3166667,-26.9,QLD,0,0,1,100,exact,8651
10395013,New South Wales,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,147.0177778,-32.16166667,NSW,0,0,1,100,exact,8651
10395013,California,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,147.8630556,-25.12416667,Ambiguous,8.13919386,8.13919386,2,,exact,8651
10395013,Port Phillip,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,144.8913889,-38.1072222,VIC,0,0,1,100,exact,8651
10395013,Victoria,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,148.1344444,-33.93027778,NSW,4.494904881,3.929359113,11,63.63636364,exact,8651
10395013,Toulouse,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,,,None,,,0,,None,8651
10395013,Melbourne,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,8651
10395013,Melbourne,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,8651
10395013,Australia,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,8651
10395013,New South Wales,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,147.0177778,-32.16166667,NSW,0,0,1,100,exact,8651
10395013,Victoria,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,148.1344444,-33.93027778,NSW,4.494904881,3.929359113,11,63.63636364,exact,8651
10395013,Lewis Ponds Creek,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,149.2511111,-33.39833333,NSW,0,0,1,100,exact,8651
10395013,Lewis Ponds Creek,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,149.2511111,-33.39833333,NSW,0,0,1,100,exact,8651
10395013,Guyong,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,149.2588889,-33.41222222,NSW,0,0,1,100,exact,8651
10395013,California,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,147.8630556,-25.12416667,Ambiguous,8.13919386,8.13919386,2,,exact,8651
10395013,Australia,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,8651
10395013,Sydney,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,8651
10395013,California,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,147.8630556,-25.12416667,Ambiguous,8.13919386,8.13919386,2,,exact,8651
10395013,San Joaquin,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,,,None,,,0,,None,8651
10395013,Sierra,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,148.3934465,-34.1187355,NSW,0,0,1,100,exact,8651
10395013,Sacramento,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,,,None,,,0,,None,8651
10395013,Feather River,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,,,None,,,0,,None,8651
