Musgrave,PERSON,18980131-966-199925097 (2 of 2).txt
Port Adelaide,LOCATION,18980131-966-199925097 (2 of 2).txt
Spencer 's Gulf,LOCATION,18980131-966-199925097 (2 of 2).txt
Marine Board,ORGANIZATION,18980131-966-199925097 (2 of 2).txt
Spencer 's Gulf,LOCATION,18980131-966-199925097 (2 of 2).txt
BUSH,PERSON,18980131-966-199925097 (2 of 2).txt
Charles Todd,PERSON,18980131-966-199925097 (2 of 2).txt
Renmark,LOCATION,18980131-966-199925097 (2 of 2).txt
Overland Corner,LOCATION,18980131-966-199925097 (2 of 2).txt
Charles,PERSON,18980131-966-199925097 (2 of 2).txt
Powell,PERSON,18980131-966-199925097 (2 of 2).txt
Creek,LOCATION,18980131-966-199925097 (2 of 2).txt
Port Darwin,PERSON,18980131-966-199925097 (2 of 2).txt
Overland Telegraph Line,ORGANIZATION,18980131-966-199925097 (2 of 2).txt
Port Darwin,LOCATION,18980131-966-199925097 (2 of 2).txt
