Ergland,LOCATION,18980129-502-124069331 (1 of 1).txt
Lassottor,PERSON,18980129-502-124069331 (1 of 1).txt
New South Wales,LOCATION,18980129-502-124069331 (1 of 1).txt
Tattersall,PERSON,18980129-502-124069331 (1 of 1).txt
Cooma,ORGANIZATION,18980129-502-124069331 (1 of 1).txt
Tasmania,LOCATION,18980129-502-124069331 (1 of 1).txt
New Norfolk,LOCATION,18980129-502-124069331 (1 of 1).txt
Pryce,PERSON,18980129-502-124069331 (1 of 1).txt
Kangaroo River Dairy Company,ORGANIZATION,18980129-502-124069331 (1 of 1).txt
Albion Park,ORGANIZATION,18980129-502-124069331 (1 of 1).txt
