William Thorne,PERSON,18770825-366-101457004 (1 of 1).txt
Bank of Victoria,ORGANIZATION,18770825-366-101457004 (1 of 1).txt
Ruther,PERSON,18770825-366-101457004 (1 of 1).txt
Melbourne Argus,LOCATION,18770825-366-101457004 (1 of 1).txt
Samuel Mc Donald,PERSON,18770825-366-101457004 (1 of 1).txt
Bowral,LOCATION,18770825-366-101457004 (1 of 1).txt
Mc Donald,LOCATION,18770825-366-101457004 (1 of 1).txt
Lambert,PERSON,18770825-366-101457004 (1 of 1).txt
Berrima,LOCATION,18770825-366-101457004 (1 of 1).txt
Virotrti,PERSON,18770825-366-101457004 (1 of 1).txt
Hir Jd,PERSON,18770825-366-101457004 (1 of 1).txt
