Edith,PERSON,18830106-821-159557620 (3 of 3).txt
Troubridge Lighthouse,LOCATION,18830106-821-159557620 (3 of 3).txt
Crafers Institute,ORGANIZATION,18830106-821-159557620 (3 of 3).txt
E. Cooke,PERSON,18830106-821-159557620 (3 of 3).txt
Flinders,LOCATION,18830106-821-159557620 (3 of 3).txt
House of Assembly,ORGANIZATION,18830106-821-159557620 (3 of 3).txt
William Townsend,PERSON,18830106-821-159557620 (3 of 3).txt
M.P.,LOCATION,18830106-821-159557620 (3 of 3).txt
L. L. Furner,PERSON,18830106-821-159557620 (3 of 3).txt
Wal,ORGANIZATION,18830106-821-159557620 (3 of 3).txt
w. Townsend,PERSON,18830106-821-159557620 (3 of 3).txt
Public Schools Floricultural,ORGANIZATION,18830106-821-159557620 (3 of 3).txt
Town Hall,LOCATION,18830106-821-159557620 (3 of 3).txt
Quorn,LOCATION,18830106-821-159557620 (3 of 3).txt
Adelaide,LOCATION,18830106-821-159557620 (3 of 3).txt
Walkerville Tramway,LOCATION,18830106-821-159557620 (3 of 3).txt
Wales,LOCATION,18830106-821-159557620 (3 of 3).txt
William Jervois,PERSON,18830106-821-159557620 (3 of 3).txt
Town Hall,LOCATION,18830106-821-159557620 (3 of 3).txt
Kairne Railway,LOCATION,18830106-821-159557620 (3 of 3).txt
Oval,LOCATION,18830106-821-159557620 (3 of 3).txt
Hon,PERSON,18830106-821-159557620 (3 of 3).txt
Ivo Bligh,PERSON,18830106-821-159557620 (3 of 3).txt
Christopher Renderu,PERSON,18830106-821-159557620 (3 of 3).txt
