York,LOCATION,18910407-275-77425240 (1 of 1).txt
J. C. H James,PERSON,18910407-275-77425240 (1 of 1).txt
Albany Advertiser,ORGANIZATION,18910407-275-77425240 (1 of 1).txt
Walter Scott,PERSON,18910407-275-77425240 (1 of 1).txt
Albany,LOCATION,18910407-275-77425240 (1 of 1).txt
Scott,PERSON,18910407-275-77425240 (1 of 1).txt
Raund Swamp Races,LOCATION,18910407-275-77425240 (1 of 1).txt
Scott,PERSON,18910407-275-77425240 (1 of 1).txt
Hugh Cliraic,PERSON,18910407-275-77425240 (1 of 1).txt
Albany,LOCATION,18910407-275-77425240 (1 of 1).txt
Fraser,PERSON,18910407-275-77425240 (1 of 1).txt
