,0,1,2,mappify_suburb,mappify_state,mappify_location_lat,mappify_location_lon,partial ratio
57,BEECH FOREST,LOCATION,18980204-241-87647802 (1 of 2).txt,BEECH FOREST,VIC,-38.58628994,143.5662163,100
58,ORIENT,LOCATION,18800114-180-65960545 (1 of 1).txt,ORIENT,QLD,-18.84822257,146.2632993,100
59,ADELAIDE,LOCATION,18800114-180-65960545 (1 of 1).txt,ADELAIDE,SA,-34.92373985,138.6038839,100
60,ADELAIDE,LOCATION,18800114-180-65960545 (1 of 1).txt,ADELAIDE,SA,-34.92373985,138.6038839,100
61,MELBOURNE,LOCATION,18800114-180-65960545 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
62,ADELAIDE,LOCATION,18800114-180-65960545 (1 of 1).txt,ADELAIDE,SA,-34.92373985,138.6038839,100
63,MELBOURNE,LOCATION,18800114-180-65960545 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
64,LOCKSLEY,LOCATION,18870122-792-170598464 (1 of 2).txt,LOCKSLEY,NSW,-33.52404306,149.7830826,100
65,CAPE OTWAY,LOCATION,18870122-792-170598464 (1 of 2).txt,CAPE OTWAY,VIC,-38.83503627,143.5302245,100
66,MARYBOROUGH,LOCATION,18870122-792-170598464 (1 of 2).txt,MARYBOROUGH,VIC,-37.01051733,143.7563917,100
67,AVENEL,LOCATION,18870122-792-170598464 (1 of 2).txt,AVENEL,VIC,-36.874324,145.2524144,100
