0,1,2,mappify_buildingName,mappify_numberFirst,mappify_numberFirstPrefix,mappify_numberFirstSuffix,mappify_numberLast,mappify_numberLastPrefix,mappify_numberLastSuffix,mappify_streetName,mappify_streetType,mappify_streetSuffixCode,mappify_suburb,mappify_state,mappify_postCode,mappify_location_lat,mappify_location_lon,mappify_streetAddress
India,LOCATION,18910216-16-3522481 (1 of 1).txt,AKOONAH,123,null,null,null,null,null,INDI,ROAD,null,INDI,NSW,2642,-36.24170576,148.0454677,"AKOONAH, 123 INDI ROAD, INDI NSW 2642"
Colac,LOCATION,18910216-16-3522481 (1 of 1).txt,null,250,null,null,null,null,null,COOLAC,ROAD,null,COOLAC,NSW,2727,-34.94483834,148.1698419,"250 COOLAC ROAD, COOLAC NSW 2727"
Coorook,LOCATION,18910216-16-3522481 (1 of 1).txt,null,180,null,null,null,null,null,BOOROOL,ROAD,null,BOOROOL,VIC,3953,-38.44356063,146.0513344,"180 BOOROOL ROAD, BOOROOL VIC 3953"
Auckland,LOCATION,18910216-16-3522481 (1 of 1).txt,COLLIE BLUE,null,null,null,null,null,null,BUCKLAND,ROAD,null,BUCKLAND,QLD,4722,-24.51798909,147.7493236,"COLLIE BLUE, BUCKLAND ROAD, BUCKLAND QLD 4722"
Loddon,LOCATION,18870119-1093-207609952 (1 of 1).txt,null,null,null,null,null,null,null,GORDON,ROAD,null,LOXTON,SA,5333,-34.44128768,140.6077745,"GORDON ROAD, LOXTON SA 5333"
Newport,LOCATION,18980212-193-69675957 (2 of 2).txt,null,6,null,null,null,null,null,NEWPORT,DRIVE,null,NEWPORT,QLD,4020,-27.20719396,153.1009441,"6 NEWPORT DRIVE, NEWPORT QLD 4020"
Ballarat,LOCATION,18870119-1093-207609952 (1 of 1).txt,null,148,null,null,null,null,null,BELLARA,STREET,null,BELLARA,QLD,4507,-27.0593373,153.1531408,"148 BELLARA STREET, BELLARA QLD 4507"
Daylesford,LOCATION,18850117-1324-240947588 (1 of 1).txt,null,null,null,null,null,null,null,DALYSFORD,ROAD,null,DALYSFORD,QLD,4671,-25.03210932,151.8804799,"DALYSFORD ROAD, DALYSFORD QLD 4671"
London,LOCATION,18930102-346-88607802 (3 of 4).txt,null,null,null,null,null,null,null,FINDON,ROAD,null,FINDON,SA,5023,-34.90336679,138.5314217,"FINDON ROAD, FINDON SA 5023"
Brisbano,LOCATION,18900124-1178-230625306 (1 of 1).txt,null,null,null,null,null,null,null,BRIMBAGO SOUTH,ROAD,null,BRIMBAGO,SA,5267,-36.22859256,140.5001659,"BRIMBAGO SOUTH ROAD, BRIMBAGO SA 5267"
Mellagong,LOCATION,18931223-52-71193207 (17 of 19).txt,null,192,null,null,null,null,null,ELLALONG,ROAD,null,ELLALONG,NSW,2325,-32.89226106,151.3109146,"192 ELLALONG ROAD, ELLALONG NSW 2325"
YASS,LOCATION,18931223-52-71193207 (17 of 19).txt,null,447,null,null,null,null,null,YASS VALLEY,WAY,null,YASS,NSW,2582,-34.82423811,148.9088449,"447 YASS VALLEY WAY, YASS NSW 2582"
Dam Creek,LOCATION,18931223-52-71193207 (17 of 19).txt,null,null,null,null,null,null,null,CAMP CREEK,ROAD,null,CAMP CREEK,QLD,4871,-17.63335786,145.9541218,"CAMP CREEK ROAD, CAMP CREEK QLD 4871"
Brookong,LOCATION,18931223-52-71193207 (17 of 19).txt,null,null,null,null,null,null,null,BROOKTON,HIGHWAY,null,BROOKTON,WA,6306,-32.42961614,116.9047441,"BROOKTON HIGHWAY, BROOKTON WA 6306"
Egan Creek,LOCATION,18931223-52-71193207 (17 of 19).txt,null,null,null,null,null,null,null,EDEN CREEK,ROAD,null,EDEN CREEK,NSW,2474,-28.57362611,152.9273205,"EDEN CREEK ROAD, EDEN CREEK NSW 2474"
London,LOCATION,18980125-567-226106009 (1 of 1).txt,null,null,null,null,null,null,null,FINDON,ROAD,null,FINDON,SA,5023,-34.90336679,138.5314217,"FINDON ROAD, FINDON SA 5023"
Staweil,LOCATION,18980125-567-226106009 (1 of 1).txt,COONGEE,187,null,null,null,null,null,STAWELL-AVOCA,ROAD,null,STAWELL,VIC,3380,-37.03717644,142.7993704,"COONGEE, 187 STAWELL-AVOCA ROAD, STAWELL VIC 3380"
Adelaide,LOCATION,18980125-567-226106009 (1 of 1).txt,null,149,null,null,null,null,null,ADELAIDE,ARCADE,null,ADELAIDE,SA,5000,-34.92373985,138.6038839,"149 ADELAIDE ARCADE, ADELAIDE SA 5000"
Stratford,LOCATION,18980125-567-226106009 (1 of 1).txt,null,180,null,null,null,null,null,STRATFORD-MAFFRA,ROAD,null,STRATFORD,VIC,3862,-37.97924467,147.0517444,"180 STRATFORD-MAFFRA ROAD, STRATFORD VIC 3862"
Adelaide,LOCATION,18980125-567-226106009 (1 of 1).txt,null,149,null,null,null,null,null,ADELAIDE,ARCADE,null,ADELAIDE,SA,5000,-34.92373985,138.6038839,"149 ADELAIDE ARCADE, ADELAIDE SA 5000"
White Hills,LOCATION,18640527-1190-247590574 (1 of 1).txt,null,2,null,null,null,null,null,SEVENTH HILL,COURT,null,WHITE HILLS,VIC,3550,-36.72910781,144.3125583,"2 SEVENTH HILL COURT, WHITE HILLS VIC 3550"
Sandhurst,LOCATION,18640527-1190-247590574 (1 of 1).txt,null,148,null,null,null,null,null,SANDHURST,BOULEVARD,null,SANDHURST,VIC,3977,-38.08599133,145.2095392,"148 SANDHURST BOULEVARD, SANDHURST VIC 3977"
Collins,LOCATION,18640527-1190-247590574 (1 of 1).txt,null,null,null,null,null,null,null,COLLINS,STREET,null,COLLIE,WA,6225,-33.34330547,116.1400187,"COLLINS STREET, COLLIE WA 6225"
Molong,LOCATION,18901231-180-67197943 (2 of 2).txt,null,6,null,null,null,null,null,MOLONG,STREET,null,MOLONG,NSW,2866,-33.09581659,148.8696276,"6 MOLONG STREET, MOLONG NSW 2866"
Auckland,LOCATION,18630314-697-166652025 (1 of 1).txt,COLLIE BLUE,null,null,null,null,null,null,BUCKLAND,ROAD,null,BUCKLAND,QLD,4722,-24.51798909,147.7493236,"COLLIE BLUE, BUCKLAND ROAD, BUCKLAND QLD 4722"
Auckland,LOCATION,18630314-697-166652025 (1 of 1).txt,COLLIE BLUE,null,null,null,null,null,null,BUCKLAND,ROAD,null,BUCKLAND,QLD,4722,-24.51798909,147.7493236,"COLLIE BLUE, BUCKLAND ROAD, BUCKLAND QLD 4722"
CARCOAR,LOCATION,18910110-698-163657874 (6 of 12).txt,null,1388,null,null,null,null,null,CARCOAR,ROAD,null,CARCOAR,NSW,2791,-33.5710048,149.1547593,"1388 CARCOAR ROAD, CARCOAR NSW 2791"
Karabeen,LOCATION,18910110-698-163657874 (6 of 12).txt,null,6,null,null,null,null,null,NARRABEEN,STREET,null,NARRABEEN,NSW,2101,-33.71663016,151.2978346,"6 NARRABEEN STREET, NARRABEEN NSW 2101"
Albnry,LOCATION,18910110-698-163657874 (6 of 12).txt,null,342,null,null,null,null,null,ALBERT,ROAD,null,ALBERT,NSW,2873,-32.39025433,147.5007487,"342 ALBERT ROAD, ALBERT NSW 2873"
Numuikah,LOCATION,18870314-185-203950347 (1 of 1).txt,null,410,null,null,null,null,null,NUMURKAH,ROAD,null,NUMURKAH,VIC,3636,-36.05324833,145.4574281,"410 NUMURKAH ROAD, NUMURKAH VIC 3636"
Adelaide,LOCATION,18940126-41-53638466 (1 of 2).txt,null,149,null,null,null,null,null,ADELAIDE,ARCADE,null,ADELAIDE,SA,5000,-34.92373985,138.6038839,"149 ADELAIDE ARCADE, ADELAIDE SA 5000"
Minmi,LOCATION,18840112-52-71007431 (8 of 8).txt,null,605,null,null,null,null,null,MINMI,ROAD,null,MINMI,NSW,2287,-32.87881076,151.6248964,"605 MINMI ROAD, MINMI NSW 2287"
Albury,LOCATION,18840112-52-71007431 (8 of 8).txt,null,null,null,null,null,null,null,AUBURN,ROAD,null,AUBURN,QLD,4413,-26.13030279,150.6517194,"AUBURN ROAD, AUBURN QLD 4413"
Albury,LOCATION,18840112-52-71007431 (8 of 8).txt,null,null,null,null,null,null,null,AUBURN,ROAD,null,AUBURN,QLD,4413,-26.13030279,150.6517194,"AUBURN ROAD, AUBURN QLD 4413"
Albury,LOCATION,18840112-52-71007431 (8 of 8).txt,null,null,null,null,null,null,null,AUBURN,ROAD,null,AUBURN,QLD,4413,-26.13030279,150.6517194,"AUBURN ROAD, AUBURN QLD 4413"
Albury,LOCATION,18840112-52-71007431 (8 of 8).txt,null,null,null,null,null,null,null,AUBURN,ROAD,null,AUBURN,QLD,4413,-26.13030279,150.6517194,"AUBURN ROAD, AUBURN QLD 4413"
Albury,LOCATION,18840112-52-71007431 (8 of 8).txt,null,null,null,null,null,null,null,AUBURN,ROAD,null,AUBURN,QLD,4413,-26.13030279,150.6517194,"AUBURN ROAD, AUBURN QLD 4413"
Echuca,LOCATION,18820218-621-220489652 (1 of 2).txt,null,155,null,null,null,null,null,ECHUCA-MITIAMO,ROAD,null,ECHUCA,VIC,3564,-36.18245189,144.7112403,"155 ECHUCA-MITIAMO ROAD, ECHUCA VIC 3564"
Swan Hill,LOCATION,18820218-621-220489652 (1 of 2).txt,null,null,null,null,null,null,null,DONALD-SWAN HILL,ROAD,null,SWAN HILL,VIC,3585,-35.39915289,143.5515455,"DONALD-SWAN HILL ROAD, SWAN HILL VIC 3585"
Sandhurst,LOCATION,18820218-621-220489652 (1 of 2).txt,null,148,null,null,null,null,null,SANDHURST,BOULEVARD,null,SANDHURST,VIC,3977,-38.08599133,145.2095392,"148 SANDHURST BOULEVARD, SANDHURST VIC 3977"
Lome,LOCATION,18810426-1052-208563868 (1 of 1).txt,null,null,null,null,null,null,null,NOME,ROAD,null,NOME,QLD,4816,-19.37712019,146.9248368,"NOME ROAD, NOME QLD 4816"
MELBOURNE,LOCATION,18980122-821-162388001 (2 of 4).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
Neerini,LOCATION,18980122-821-162388001 (2 of 4).txt,null,190,null,null,null,null,null,NERRINA,ROAD,null,NERRINA,VIC,3350,-37.54433264,143.886743,"190 NERRINA ROAD, NERRINA VIC 3350"
Hastings,LOCATION,18980122-821-162388001 (2 of 4).txt,null,null,null,null,null,null,null,HASTINGS BAY,ESPLANADE,null,HASTINGS,TAS,7109,-43.41813803,146.9271308,"HASTINGS BAY ESPLANADE, HASTINGS TAS 7109"
Avoca,LOCATION,18980122-821-162388001 (2 of 4).txt,null,null,null,null,null,null,null,AVOCA,ROAD,null,AVOCA,QLD,4670,-24.87872961,152.3054074,"AVOCA ROAD, AVOCA QLD 4670"
Xrontham,LOCATION,18980122-821-162388001 (2 of 4).txt,null,null,null,null,null,null,null,GRANTHAM SCRUB,ROAD,null,GRANTHAM,QLD,4347,-27.59044264,152.1986121,"GRANTHAM SCRUB ROAD, GRANTHAM QLD 4347"
Grisborno,LOCATION,18980122-821-162388001 (2 of 4).txt,null,166,null,null,null,null,null,MT GISBORNE,ROAD,null,GISBORNE,VIC,3437,-37.51430539,144.5863114,"166 MT GISBORNE ROAD, GISBORNE VIC 3437"
Lilydale,LOCATION,18980122-821-162388001 (2 of 4).txt,null,null,null,null,null,null,null,LILYVALE,ROAD,null,LILYVALE,NSW,2508,-34.19332036,151.001026,"LILYVALE ROAD, LILYVALE NSW 2508"
Paynesville,LOCATION,18980122-821-162388001 (2 of 4).txt,null,3,null,A,null,null,null,PAYNESVILLE,ROAD,null,PAYNESVILLE,VIC,3880,-37.90754257,147.7198568,"3A PAYNESVILLE ROAD, PAYNESVILLE VIC 3880"
COLAC,LOCATION,18790208-13-5931642 (1 of 3).txt,null,250,null,null,null,null,null,COOLAC,ROAD,null,COOLAC,NSW,2727,-34.94483834,148.1698419,"250 COOLAC ROAD, COOLAC NSW 2727"
Colac,LOCATION,18790208-13-5931642 (1 of 3).txt,null,250,null,null,null,null,null,COOLAC,ROAD,null,COOLAC,NSW,2727,-34.94483834,148.1698419,"250 COOLAC ROAD, COOLAC NSW 2727"
Taradale,LOCATION,18650301-185-112885071 (2 of 8).txt,null,709,null,null,null,null,null,TARADALE,ROAD,null,TARADALE,NSW,2653,-35.66639414,147.9528403,"709 TARADALE ROAD, TARADALE NSW 2653"
Taradale,LOCATION,18650301-185-112885071 (2 of 8).txt,null,709,null,null,null,null,null,TARADALE,ROAD,null,TARADALE,NSW,2653,-35.66639414,147.9528403,"709 TARADALE ROAD, TARADALE NSW 2653"
Elphinstone,LOCATION,18650301-185-112885071 (2 of 8).txt,null,null,null,null,null,null,null,OLD ELPHINSTONE,ROAD,null,ELPHINSTONE,QLD,4361,-27.95898358,151.9116039,"OLD ELPHINSTONE ROAD, ELPHINSTONE QLD 4361"
Taradale,LOCATION,18650301-185-112885071 (2 of 8).txt,null,709,null,null,null,null,null,TARADALE,ROAD,null,TARADALE,NSW,2653,-35.66639414,147.9528403,"709 TARADALE ROAD, TARADALE NSW 2653"
Adelaide,LOCATION,18751110-582-197550552 (1 of 1).txt,null,149,null,null,null,null,null,ADELAIDE,ARCADE,null,ADELAIDE,SA,5000,-34.92373985,138.6038839,"149 ADELAIDE ARCADE, ADELAIDE SA 5000"
Daylesford,LOCATION,18650615-185-112887480 (1 of 1).txt,null,null,null,null,null,null,null,DALYSFORD,ROAD,null,DALYSFORD,QLD,4671,-25.03210932,151.8804799,"DALYSFORD ROAD, DALYSFORD QLD 4671"
Kyneton,LOCATION,18931021-806-174517946 (1 of 1).txt,null,null,null,null,null,null,null,KEYNETON,ROAD,null,KEYNETON,SA,5353,-34.6205037,139.1051959,"KEYNETON ROAD, KEYNETON SA 5353"
Bendigo,LOCATION,18931021-806-174517946 (1 of 1).txt,BENDIGO MARKETPLACE,1,null,null,null,null,null,BENDIGO MARKETPLACE,null,null,BENDIGO,VIC,3550,-36.76552472,144.280931,"BENDIGO MARKETPLACE, 1 BENDIGO MARKETPLACE, BENDIGO VIC 3550"
Waterloo,LOCATION,18500209-35-12915603 (5 of 6).txt,null,null,null,null,null,null,null,WATERLOO,ROAD,null,WATERLOO,QLD,4673,-24.75120068,151.9868277,"WATERLOO ROAD, WATERLOO QLD 4673"
Greenland,LOCATION,18500209-35-12915603 (5 of 6).txt,null,59,null,null,null,null,null,GREENLANDS,LANE,null,GREENLANDS,QLD,4380,-28.66594341,151.8436863,"59 GREENLANDS LANE, GREENLANDS QLD 4380"
Liverpool,LOCATION,18500209-35-12915603 (5 of 6).txt,null,54,null,null,null,null,null,LIVERPOOL,STREET,null,LIVERPOOL,NSW,2170,-33.93365749,150.9056878,"54 LIVERPOOL STREET, LIVERPOOL NSW 2170"
Melboarne,LOCATION,18780112-232-211534541 (1 of 3).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
Warran,LOCATION,18780112-232-211534541 (1 of 3).txt,null,2,null,null,null,null,null,WARREN,AVENUE,null,WALLAN,VIC,3756,-37.42415283,144.9922305,"2 WARREN AVENUE, WALLAN VIC 3756"
Varra,LOCATION,18780112-232-211534541 (1 of 3).txt,ALLUMBIE,1011,null,null,null,null,null,GARRA,ROAD,null,GARRA,NSW,2866,-33.11746143,148.7556419,"ALLUMBIE, 1011 GARRA ROAD, GARRA NSW 2866"
COBAR,LOCATION,18960114-35-14033182 (5 of 14).txt,null,32,null,null,null,null,null,COBAR,STREET,null,COBAR,NSW,2835,-31.52750481,145.85632,"32 COBAR STREET, COBAR NSW 2835"
CLTFTON,LOCATION,18960114-35-14033182 (5 of 14).txt,null,null,null,null,null,null,null,CLIFTON ALLORA,ROAD,null,CLIFTON,QLD,4361,-27.94821758,151.9381794,"CLIFTON ALLORA ROAD, CLIFTON QLD 4361"
CAMDEN,LOCATION,18960114-35-14033182 (5 of 14).txt,null,187,null,null,null,null,null,CADDENS,ROAD,null,CADDENS,NSW,2747,-33.77412823,150.7380085,"187 CADDENS ROAD, CADDENS NSW 2747"
Inglewood,LOCATION,18790210-346-88223323 (3 of 3).txt,null,6,null,null,null,null,null,INGLEWOOD,LANE,null,INGLEWOOD,WA,6052,-31.92163145,115.8843477,"6 INGLEWOOD LANE, INGLEWOOD WA 6052"
Windsor,LOCATION,18951221-192-66448755 (1 of 2).txt,null,null,null,null,null,null,null,WINDSOR,ROAD,null,WINDSOR,SA,5501,-34.43202712,138.3667316,"WINDSOR ROAD, WINDSOR SA 5501"
Melbourne,LOCATION,18980225-1495-255606383 (2 of 2).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
Melbourne,LOCATION,18980225-1495-255606383 (2 of 2).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
England,LOCATION,18980225-1495-255606383 (2 of 2).txt,KYONG STATION,null,null,null,null,null,null,PENTLAND ARAMAC,ROAD,null,PENTLAND,QLD,4816,-21.78924202,145.9321506,"KYONG STATION, PENTLAND ARAMAC ROAD, PENTLAND QLD 4816"
Colac,LOCATION,18750329-232-191558450 (2 of 3).txt,null,250,null,null,null,null,null,COOLAC,ROAD,null,COOLAC,NSW,2727,-34.94483834,148.1698419,"250 COOLAC ROAD, COOLAC NSW 2727"
Thames,LOCATION,18710617-1148-224362211 (3 of 3).txt,null,null,null,null,null,null,null,THANES CREEK,ROAD,null,THANE,QLD,4370,-28.16222572,151.6983579,"THANES CREEK ROAD, THANE QLD 4370"
Mossel Bay,LOCATION,18710617-1148-224362211 (3 of 3).txt,null,151,null,null,null,null,null,MASSEY BAY,DRIVE,null,MASSEY BAY,WA,6701,-24.89655482,113.6694538,"151 MASSEY BAY DRIVE, MASSEY BAY WA 6701"
London,LOCATION,18760822-13-5899703 (1 of 1).txt,null,null,null,null,null,null,null,FINDON,ROAD,null,FINDON,SA,5023,-34.90336679,138.5314217,"FINDON ROAD, FINDON SA 5023"
Melbourno,LOCATION,18720116-13-5858804 (1 of 1).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
Cobar,LOCATION,18730526-67-63230763 (1 of 1).txt,null,32,null,null,null,null,null,COBAR,STREET,null,COBAR,NSW,2835,-31.52750481,145.85632,"32 COBAR STREET, COBAR NSW 2835"
Jiulla,LOCATION,18960111-13-8887399 (7 of 8).txt,null,null,null,null,null,null,null,JULIA,ROAD,null,JULIA,SA,5374,-34.12050597,139.0266771,"JULIA ROAD, JULIA SA 5374"
Wallera,LOCATION,18840118-84-30788847 (2 of 3).txt,null,null,null,null,null,null,null,KALLORA,ROAD,null,KALLORA,SA,5550,-34.2484566,138.3085715,"KALLORA ROAD, KALLORA SA 5550"
Smythesdiue,LOCATION,18790212-232-232166466 (3 of 3).txt,null,150,null,null,null,null,null,SEBASTOPOL-SMYTHESDALE,ROAD,null,SMYTHESDALE,VIC,3351,-37.6427433,143.702877,"150 SEBASTOPOL-SMYTHESDALE ROAD, SMYTHESDALE VIC 3351"
Kurrajong,LOCATION,18950921-192-66447913 (2 of 2).txt,null,6,null,null,null,null,null,KURRAJONG,ROAD,null,KURRAJONG,NSW,2758,-33.55283232,150.6697908,"6 KURRAJONG ROAD, KURRAJONG NSW 2758"
Gladstone,LOCATION,18690102-558-150643523 (1 of 2).txt,null,null,null,null,null,null,null,GLADSTONE,STREET,null,GLADSTONE,SA,5473,-33.27420797,138.3562926,"GLADSTONE STREET, GLADSTONE SA 5473"
Stratford,LOCATION,18690102-558-150643523 (1 of 2).txt,null,180,null,null,null,null,null,STRATFORD-MAFFRA,ROAD,null,STRATFORD,VIC,3862,-37.97924467,147.0517444,"180 STRATFORD-MAFFRA ROAD, STRATFORD VIC 3862"
Maffra,LOCATION,18690102-558-150643523 (1 of 2).txt,CARINGO,3498,null,null,null,null,null,MAFFRA,ROAD,null,MAFFRA,NSW,2630,-36.50954675,148.9778332,"CARINGO, 3498 MAFFRA ROAD, MAFFRA NSW 2630"
Kosedale,LOCATION,18690102-558-150643523 (1 of 2).txt,null,null,null,null,null,null,null,ROSEDALE,ROAD,null,ROSEDALE,SA,5350,-34.58662133,138.8281905,"ROSEDALE ROAD, ROSEDALE SA 5350"
Sandhurst,LOCATION,18811109-185-202595706 (1 of 1).txt,null,148,null,null,null,null,null,SANDHURST,BOULEVARD,null,SANDHURST,VIC,3977,-38.08599133,145.2095392,"148 SANDHURST BOULEVARD, SANDHURST VIC 3977"
Sandhurst,LOCATION,18811109-185-202595706 (1 of 1).txt,null,148,null,null,null,null,null,SANDHURST,BOULEVARD,null,SANDHURST,VIC,3977,-38.08599133,145.2095392,"148 SANDHURST BOULEVARD, SANDHURST VIC 3977"
Perth,LOCATION,18670506-10-8845665 (1 of 1).txt,null,240,null,null,null,null,null,PERTH MILL,ROAD,null,PERTH,TAS,7300,-41.56450256,147.1841337,"240 PERTH MILL ROAD, PERTH TAS 7300"
Auckland,LOCATION,18900305-34-24495040 (1 of 2).txt,COLLIE BLUE,null,null,null,null,null,null,BUCKLAND,ROAD,null,BUCKLAND,QLD,4722,-24.51798909,147.7493236,"COLLIE BLUE, BUCKLAND ROAD, BUCKLAND QLD 4722"
Auckland,LOCATION,18900305-34-24495040 (1 of 2).txt,COLLIE BLUE,null,null,null,null,null,null,BUCKLAND,ROAD,null,BUCKLAND,QLD,4722,-24.51798909,147.7493236,"COLLIE BLUE, BUCKLAND ROAD, BUCKLAND QLD 4722"
Lismore,LOCATION,18910223-35-13815110 (1 of 1).txt,null,173,null,null,null,null,null,LISMORE STATION,ROAD,null,LISMORE,VIC,3324,-37.98092293,143.3228212,"173 LISMORE STATION ROAD, LISMORE VIC 3324"
Melbourne,LOCATION,18910223-35-13815110 (1 of 1).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
ADELAIDE,LOCATION,18880430-275-77393991 (1 of 1).txt,null,149,null,null,null,null,null,ADELAIDE,ARCADE,null,ADELAIDE,SA,5000,-34.92373985,138.6038839,"149 ADELAIDE ARCADE, ADELAIDE SA 5000"
ADELAIDE,LOCATION,18880430-275-77393991 (1 of 1).txt,null,149,null,null,null,null,null,ADELAIDE,ARCADE,null,ADELAIDE,SA,5000,-34.92373985,138.6038839,"149 ADELAIDE ARCADE, ADELAIDE SA 5000"
ADELAIDE,LOCATION,18880430-275-77393991 (1 of 1).txt,null,149,null,null,null,null,null,ADELAIDE,ARCADE,null,ADELAIDE,SA,5000,-34.92373985,138.6038839,"149 ADELAIDE ARCADE, ADELAIDE SA 5000"
Smythesdale,LOCATION,18790215-698-162808019 (1 of 1).txt,null,150,null,null,null,null,null,SEBASTOPOL-SMYTHESDALE,ROAD,null,SMYTHESDALE,VIC,3351,-37.6427433,143.702877,"150 SEBASTOPOL-SMYTHESDALE ROAD, SMYTHESDALE VIC 3351"
Little River,LOCATION,18810129-326-201540091 (2 of 2).txt,null,161,null,null,null,null,null,LITTLE RIVER,ROAD,null,LITTLE RIVER,VIC,3211,-37.96214019,144.5112793,"161 LITTLE RIVER ROAD, LITTLE RIVER VIC 3211"
Gundowring,LOCATION,18810129-326-201540091 (2 of 2).txt,2ND DWELLING,1118,null,null,null,null,null,GUNDOWRING,ROAD,null,GUNDOWRING,VIC,3691,-36.35789568,147.0450143,"2ND DWELLING, 1118 GUNDOWRING ROAD, GUNDOWRING VIC 3691"
Albury,LOCATION,18810129-326-201540091 (2 of 2).txt,null,null,null,null,null,null,null,AUBURN,ROAD,null,AUBURN,QLD,4413,-26.13030279,150.6517194,"AUBURN ROAD, AUBURN QLD 4413"
Beechworth,LOCATION,18810129-326-201540091 (2 of 2).txt,null,243,null,null,null,null,null,BEECHWORTH-WODONGA,ROAD,null,BEECHWORTH,VIC,3747,-36.34129804,146.6902532,"243 BEECHWORTH-WODONGA ROAD, BEECHWORTH VIC 3747"
Benalla,LOCATION,18810129-326-201540091 (2 of 2).txt,null,6,null,null,null,null,null,BENALLA,STREET,null,BENALLA,VIC,3672,-36.54834918,145.9803085,"6 BENALLA STREET, BENALLA VIC 3672"
Sugarloaf,LOCATION,18741215-8-18790254 (4 of 4).txt,null,null,null,null,null,null,null,SUGARLOAF,ROAD,null,SUGARLOAF,QLD,4380,-28.70296231,152.0625514,"SUGARLOAF ROAD, SUGARLOAF QLD 4380"
York,LOCATION,18910407-275-77425240 (1 of 1).txt,null,6,null,null,null,null,null,NORTHAM-YORK,ROAD,null,YORK,WA,6302,-31.87259029,116.7833291,"6 NORTHAM-YORK ROAD, YORK WA 6302"
Albany,LOCATION,18910407-275-77425240 (1 of 1).txt,null,3,null,null,null,null,null,ALBANY,HIGHWAY,null,ALBANY,WA,6330,-35.02040905,117.8823542,"3 ALBANY HIGHWAY, ALBANY WA 6330"
KULKI,LOCATION,18870121-436-254558870 (2 of 2).txt,null,null,null,null,null,null,null,KULPI PERANGA,ROAD,null,KULPI,QLD,4352,-27.17224637,151.6931453,"KULPI PERANGA ROAD, KULPI QLD 4352"
Albany,LOCATION,18910407-275-77425240 (1 of 1).txt,null,3,null,null,null,null,null,ALBANY,HIGHWAY,null,ALBANY,WA,6330,-35.02040905,117.8823542,"3 ALBANY HIGHWAY, ALBANY WA 6330"
Kulki,LOCATION,18870121-436-254558870 (2 of 2).txt,null,null,null,null,null,null,null,KULPI PERANGA,ROAD,null,KULPI,QLD,4352,-27.17224637,151.6931453,"KULPI PERANGA ROAD, KULPI QLD 4352"
Hamilton,LOCATION,18880203-195-65610703 (1 of 2).txt,null,8049,null,null,null,null,null,HAMILTON,HIGHWAY,null,HAMILTON,VIC,3300,-37.7622476,142.0785145,"8049 HAMILTON HIGHWAY, HAMILTON VIC 3300"
Hamilton,LOCATION,18880203-195-65610703 (1 of 2).txt,null,8049,null,null,null,null,null,HAMILTON,HIGHWAY,null,HAMILTON,VIC,3300,-37.7622476,142.0785145,"8049 HAMILTON HIGHWAY, HAMILTON VIC 3300"
Milton,LOCATION,18850908-16-3448147 (1 of 1).txt,null,185,null,null,null,null,null,MILTON,ROAD,null,MILTON,QLD,4064,-27.46698033,153.0051094,"185 MILTON ROAD, MILTON QLD 4064"
Logan,LOCATION,18850908-16-3448147 (1 of 1).txt,null,222,null,null,null,null,null,LOGAN,ROAD,null,LOGAN,VIC,3475,-36.65276695,143.4529527,"222 LOGAN ROAD, LOGAN VIC 3475"
London,LOCATION,18850908-16-3448147 (1 of 1).txt,null,null,null,null,null,null,null,FINDON,ROAD,null,FINDON,SA,5023,-34.90336679,138.5314217,"FINDON ROAD, FINDON SA 5023"
Melbourne,LOCATION,18980322-241-87649081 (2 of 2).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
Melbourne,LOCATION,18980322-241-87649081 (2 of 2).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
Ballarat,LOCATION,18891228-621-220417494 (2 of 2).txt,null,148,null,null,null,null,null,BELLARA,STREET,null,BELLARA,QLD,4507,-27.0593373,153.1531408,"148 BELLARA STREET, BELLARA QLD 4507"
