0,1,2,mappify_buildingName,mappify_numberFirst,mappify_numberFirstPrefix,mappify_numberFirstSuffix,mappify_numberLast,mappify_numberLastPrefix,mappify_numberLastSuffix,mappify_streetName,mappify_streetType,mappify_streetSuffixCode,mappify_suburb,mappify_state,mappify_postCode,mappify_location_lat,mappify_location_lon,mappify_streetAddress
Broughton,LOCATION,18950906-367-101102490 (1 of 2).txt,LEYSHONVIEW STATION,null,null,null,null,null,null,BROUGHTON,ROAD,null,BROUGHTON,QLD,4820,-20.12329012,146.4276798,"LEYSHONVIEW STATION, BROUGHTON ROAD, BROUGHTON QLD 4820"
Boerry,LOCATION,18950906-367-101102490 (1 of 2).txt,null,null,null,null,null,null,null,KERRY,ROAD,null,KERRY,QLD,4285,-28.18089307,153.0414697,"KERRY ROAD, KERRY QLD 4285"
London,LOCATION,18950906-367-101102490 (1 of 2).txt,null,null,null,null,null,null,null,FINDON,ROAD,null,FINDON,SA,5023,-34.90336679,138.5314217,"FINDON ROAD, FINDON SA 5023"
Mudgee,LOCATION,18950126-493-126613511 (1 of 1).txt,null,null,null,null,null,null,null,BUDGEE,ROAD,null,BUDGEE,QLD,4359,-27.80289538,152.0069916,"BUDGEE ROAD, BUDGEE QLD 4359"
Dubbo,LOCATION,18950126-493-126613511 (1 of 1).txt,null,149,null,null,null,null,null,OLD DUBBO,ROAD,null,DUBBO,NSW,2830,-32.37824209,148.6914051,"149 OLD DUBBO ROAD, DUBBO NSW 2830"
Lilydale,LOCATION,18850220-436-254552772 (1 of 1).txt,null,null,null,null,null,null,null,LILYVALE,ROAD,null,LILYVALE,NSW,2508,-34.19332036,151.001026,"LILYVALE ROAD, LILYVALE NSW 2508"
Diamond Creek,LOCATION,18930218-621-221779587 (3 of 5).txt,null,272,null,A,null,null,null,DIAMOND CREEK,ROAD,null,DIAMOND CREEK,VIC,3089,-37.6805522,145.122711,"272A DIAMOND CREEK ROAD, DIAMOND CREEK VIC 3089"
Melbourne,LOCATION,18930218-621-221779587 (3 of 5).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
Albury,LOCATION,18910110-698-163657874 (8 of 12).txt,null,null,null,null,null,null,null,AUBURN,ROAD,null,AUBURN,QLD,4413,-26.13030279,150.6517194,"AUBURN ROAD, AUBURN QLD 4413"
Coonamble,LOCATION,18910110-698-163657874 (8 of 12).txt,null,4,null,null,null,null,null,COONAMBLE,TERRACE,null,COONAMBLE,NSW,2829,-30.94977099,148.3939328,"4 COONAMBLE TERRACE, COONAMBLE NSW 2829"
Red Creek,LOCATION,18910110-698-163657874 (8 of 12).txt,null,null,null,null,null,null,null,RED CREEK,ROAD,null,RED CREEK,SA,5255,-35.16910828,138.9924624,"RED CREEK ROAD, RED CREEK SA 5255"
Walgett,LOCATION,18910110-698-163657874 (8 of 12).txt,HIGH COUNTRY,null,null,null,null,null,null,DALGETY,ROAD,null,DALGETY,NSW,2628,-36.47697891,148.8500323,"HIGH COUNTRY, DALGETY ROAD, DALGETY NSW 2628"
Canmore,LOCATION,18910110-698-163657874 (8 of 12).txt,null,190,null,null,null,null,null,DALMORE,ROAD,null,DALMORE,VIC,3981,-38.19564875,145.4225859,"190 DALMORE ROAD, DALMORE VIC 3981"
Adelaide,LOCATION,18800123-30-2982471 (1 of 2).txt,null,149,null,null,null,null,null,ADELAIDE,ARCADE,null,ADELAIDE,SA,5000,-34.92373985,138.6038839,"149 ADELAIDE ARCADE, ADELAIDE SA 5000"
London,LOCATION,18800123-30-2982471 (1 of 2).txt,null,null,null,null,null,null,null,FINDON,ROAD,null,FINDON,SA,5023,-34.90336679,138.5314217,"FINDON ROAD, FINDON SA 5023"
Brookong,LOCATION,18931223-52-71193207 (19 of 19).txt,null,null,null,null,null,null,null,BROOKTON,HIGHWAY,null,BROOKTON,WA,6306,-32.42961614,116.9047441,"BROOKTON HIGHWAY, BROOKTON WA 6306"
Egan Creek,LOCATION,18931223-52-71193207 (19 of 19).txt,null,null,null,null,null,null,null,EDEN CREEK,ROAD,null,EDEN CREEK,NSW,2474,-28.57362611,152.9273205,"EDEN CREEK ROAD, EDEN CREEK NSW 2474"
