0,1,2
Dalton,PERSON,18831229-326-198971647.txt
Stack,PERSON,18630106-13-6482437.txt
Alexander,PERSON,18630106-13-6482437.txt
Mail,PERSON,18630106-13-6482437.txt
Carngham,LOCATION,18630106-13-6482437.txt
Bottle,PERSON,18630106-13-6482437.txt
Hill,PERSON,18630106-13-6482437.txt
Snake,LOCATION,18630106-13-6482437.txt
Valley,LOCATION,18630106-13-6482437.txt
GOULBURN,LOCATION,18881024-35-13700914.txt
Elsie,PERSON,18881024-35-13700914.txt
Alice,PERSON,18881024-35-13700914.txt
Bell,PERSON,18881024-35-13700914.txt
Windellima,LOCATION,18881024-35-13700914.txt
GRAFTON,LOCATION,18881024-35-13700914.txt
Castlemaine,ORGANIZATION,18980209-346-89466891.txt
Gippsland,LOCATION,18980209-346-89466891.txt
Melbourne,LOCATION,18980209-346-89466891.txt
Melbourne,LOCATION,18980209-346-89466891.txt
Jumbunna,LOCATION,18980209-346-89466891.txt
Kerr,PERSON,18880320-356-134048357.txt
New,LOCATION,18880320-356-134048357.txt
South,LOCATION,18880320-356-134048357.txt
Wales,LOCATION,18880320-356-134048357.txt
GORDON,PERSON,18880320-356-134048357.txt
BAILIE,PERSON,18880320-356-134048357.txt
Dundee,ORGANIZATION,18880320-356-134048357.txt
Hawke,PERSON,18880320-356-134048357.txt
Bay,LOCATION,18880320-356-134048357.txt
district,LOCATION,18880320-356-134048357.txt
New,LOCATION,18880320-356-134048357.txt
Zealand,LOCATION,18880320-356-134048357.txt
Bruce,PERSON,18880320-356-134048357.txt
James,PERSON,18880320-356-134048357.txt
Clarke,PERSON,18880320-356-134048357.txt
Greenvale,LOCATION,18820216-567-226063415.txt
Edgariy,PERSON,18820216-567-226063415.txt
Mount,LOCATION,18820216-567-226063415.txt
Pleasant,LOCATION,18820216-567-226063415.txt
Lake,LOCATION,18820216-567-226063415.txt
Bolac,LOCATION,18820216-567-226063415.txt
Ross,PERSON,18820216-567-226063415.txt
Austin,PERSON,18820216-567-226063415.txt
Greenvale,LOCATION,18820216-567-226063415.txt
Brown,PERSON,18900905-402-110268270.txt
Jack,PERSON,18900905-402-110268270.txt
Biddy,PERSON,18900905-402-110268270.txt
Green,PERSON,18900905-402-110268270.txt
Brown,PERSON,18900905-402-110268270.txt
Jones,PERSON,18900905-402-110268270.txt
Green,PERSON,18900905-402-110268270.txt
Biddy,PERSON,18900905-402-110268270.txt
Albury,LOCATION,18660414-406-110102432.txt
Warne,PERSON,18660414-406-110102432.txt
Board,ORGANIZATION,18970223-506-120774816.txt
of,ORGANIZATION,18970223-506-120774816.txt
Examiners,ORGANIZATION,18970223-506-120774816.txt
Moree,PERSON,18970223-506-120774816.txt
Cannonbar,PERSON,18970223-506-120774816.txt
Public,ORGANIZATION,18970223-506-120774816.txt
